,track,id,playlist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
57,That Moon Song,3lw0CSMQ88LcN0ZMP6DlWi,5tOffZXVBFTMS7mkKQ3tpX,0.255,0.394,2.0,-12.609,1.0,0.0309,0.653,0.1,0.148,0.267,145.315,214227.0
58,Call It Dreaming,4ftYIbHbKSVZWyrveFHCNu,5tOffZXVBFTMS7mkKQ3tpX,0.515,0.502,5.0,-9.969,1.0,0.0327,0.606,6.14e-05,0.0974,0.726,80.099,231755.0
59,The Flood,2YdU9FRM7fYiZ9B2KOUIpl,5tOffZXVBFTMS7mkKQ3tpX,0.577,0.446,6.0,-11.343,1.0,0.0313,0.554,0.0782,0.116,0.262,81.005,261640.0
60,Fare Thee Well (Dink's Song),0YOOXnCJihgyluizqhAcrz,5tOffZXVBFTMS7mkKQ3tpX,0.495,0.434,2.0,-8.079,1.0,0.0313,0.897,0.000393,0.109,0.23,82.16,180400.0
61,Let It Breathe,52uKQxYJKHpYz0DEwKLltI,5tOffZXVBFTMS7mkKQ3tpX,0.5,0.151,11.0,-16.107,1.0,0.0348,0.893,6.54e-05,0.111,0.3,113.969,159646.0
62,Wandering Child,0BIubA1OOVNkFtkZXBe3gP,3FInOSJaKv5QzLQrd3lCgA,0.671,0.36,2.0,-11.696,1.0,0.0367,0.792,3.13e-06,0.0967,0.335,98.034,184550.0
63,Simple Song,70HWRkitkAKfos500LBk0T,5tOffZXVBFTMS7mkKQ3tpX,0.631,0.402,5.0,-11.125,1.0,0.0286,0.616,0.0114,0.0892,0.598,78.0,228480.0
64,Crater Lake,1lat1ihaU57L6V7s15SQXz,5tOffZXVBFTMS7mkKQ3tpX,0.475,0.264,10.0,-11.452,1.0,0.0745,0.957,0.0,0.156,0.135,81.922,114120.0
65,Amsterdam,7iQmjnDXYngWGsbjVnDc1U,5tOffZXVBFTMS7mkKQ3tpX,0.553,0.429,3.0,-12.51,1.0,0.0283,0.921,0.135,0.115,0.532,152.047,198640.0
66,On Trees And Birds And Fire,3YnzkpXK1J9fnnoJRG8FUB,5tOffZXVBFTMS7mkKQ3tpX,0.589,0.311,10.0,-13.573,1.0,0.0395,0.901,0.0661,0.117,0.641,199.887,176800.0
67,Up to Me,7HQTrJe9q9yxirrbdNAMcM,5tOffZXVBFTMS7mkKQ3tpX,0.64,0.381,4.0,-11.79,1.0,0.0302,0.911,0.000254,0.104,0.581,91.49,193533.0
68,I Am Not in Love Anymore,1IcwyDAAdo5mYIC5ujB9sz,5tOffZXVBFTMS7mkKQ3tpX,0.541,0.619,4.0,-7.247,0.0,0.0299,0.261,1.24e-05,0.112,0.381,87.828,278958.0
69,Waiting Around - Acoustic,6sFLeTTehG9M2nmZ3jKJ1p,5tOffZXVBFTMS7mkKQ3tpX,0.484,0.149,0.0,-14.991,1.0,0.0372,0.987,0.00811,0.111,0.123,144.589,152960.0
70,Back to Autumn,3TdZbELsPLWYZAArGSfwyQ,5tOffZXVBFTMS7mkKQ3tpX,0.478,0.587,8.0,-8.032,1.0,0.0304,0.461,0.00107,0.069,0.34,110.919,199653.0
71,Paint,2BOof6lYrGfz6BojJ0aeJd,5tOffZXVBFTMS7mkKQ3tpX,0.364,0.308,4.0,-13.052,1.0,0.0402,0.896,0.00227,0.123,0.389,73.331,191773.0
72,Horse to Water,0szmjOw9XbtbQYWz0GvXSp,5tOffZXVBFTMS7mkKQ3tpX,0.519,0.622,6.0,-9.135,0.0,0.0319,0.343,0.0699,0.497,0.514,97.004,244960.0
73,Carry You,0u4rkpmNtgcFxYHepnVF4v,5tOffZXVBFTMS7mkKQ3tpX,0.334,0.397,7.0,-7.993,1.0,0.0284,0.558,0.0774,0.126,0.035,93.445,273107.0
74,Barcelona,58Qol5xzalwqF912GE9vQv,5tOffZXVBFTMS7mkKQ3tpX,0.629,0.572,5.0,-9.332,1.0,0.0307,0.32,0.000853,0.109,0.182,93.997,188960.0
75,Runaway,541OLGN9Qfp5lizRnGk8fG,5U2MYFAcQ3yT7XbHYgGPmb,0.714,0.84,0.0,-6.141,1.0,0.15,0.21,0.0,0.0461,0.194,125.955,187124.0
76,Angela (Single Version),5kGBSOrKYmhRfdPBw4xD8D,3FInOSJaKv5QzLQrd3lCgA,0.652,0.601,4.0,-7.988,1.0,0.0317,0.625,0.000165,0.17,0.302,130.308,178840.0
77,Colder Heavens,6JOmZY3BQcnM6A5DIxn5xB,5tOffZXVBFTMS7mkKQ3tpX,0.383,0.547,5.0,-9.899,0.0,0.0376,0.771,0.00216,0.0913,0.282,91.899,273893.0
78,Where's My Love - Acoustic,6lvGthAouA0KfQ29tz4XAt,5tOffZXVBFTMS7mkKQ3tpX,0.554,0.226,3.0,-11.323,1.0,0.0281,0.891,0.0321,0.107,0.229,104.005,239880.0
79,El Buho,3E2dyGd4VQaY6uWHyQ9ok7,5tOffZXVBFTMS7mkKQ3tpX,0.553,0.391,3.0,-12.303,0.0,0.0315,0.933,0.00123,0.0993,0.242,105.989,231707.0
80,Vagabond,3HAgxyWGeJtIVabS2mTREt,5tOffZXVBFTMS7mkKQ3tpX,0.571,0.399,4.0,-11.919,1.0,0.0364,0.766,0.0146,0.0926,0.611,141.922,129464.0
81,Making All Things New,0g3Vm5xbQsDslbTeN9SwEb,5tOffZXVBFTMS7mkKQ3tpX,0.787,0.343,0.0,-11.413,1.0,0.0298,0.895,0.0275,0.11,0.47,100.007,159600.0
82,The Moons Detriment,6dRKRVyjzxa2efBCXZez6R,5tOffZXVBFTMS7mkKQ3tpX,0.519,0.173,11.0,-16.078,1.0,0.0284,0.932,0.113,0.102,0.282,92.306,155000.0
83,Nimbin,6wHgmOZfLWmn685tDFXsX7,5tOffZXVBFTMS7mkKQ3tpX,0.357,0.406,4.0,-10.148,1.0,0.0491,0.745,0.0324,0.0754,0.186,73.677,283653.0
84,You Sigh,7hMKqhlMqxF7ULZiUMN5AH,5tOffZXVBFTMS7mkKQ3tpX,0.629,0.451,6.0,-9.974,1.0,0.0284,0.852,0.06,0.141,0.681,90.965,178827.0
85,Distant Sures,6uBexmz61ckt5XQRqTgF3M,5tOffZXVBFTMS7mkKQ3tpX,0.604,0.363,10.0,-11.674,1.0,0.0295,0.876,0.166,0.165,0.672,88.377,191267.0
86,Love Brought Weight,1H56ffyFrFcvMEWUg3WFbM,5tOffZXVBFTMS7mkKQ3tpX,0.367,0.326,7.0,-15.605,1.0,0.0344,0.699,0.358,0.0759,0.064,116.659,185747.0
87,New Wall,5oF2zpG0BoSdqVkN7bwyWs,5tOffZXVBFTMS7mkKQ3tpX,0.56,0.143,8.0,-15.333,1.0,0.0363,0.872,1.37e-06,0.109,0.344,138.37,158427.0
88,Minimum,4FwaJmXeZxr1096KItcUQq,5tOffZXVBFTMS7mkKQ3tpX,0.492,0.841,0.0,-9.181,0.0,0.0904,0.729,0.00027,0.101,0.313,177.869,194907.0
89,The Stable Song,3G9ETaH55bMQx8hwNhAgbU,5tOffZXVBFTMS7mkKQ3tpX,0.626,0.432,2.0,-11.948,1.0,0.0283,0.633,0.00239,0.127,0.361,137.93,360933.0
90,Whisper In Her Ear,5YuHMfznSrE6qsKGQzcAnO,5tOffZXVBFTMS7mkKQ3tpX,0.586,0.208,5.0,-15.224,1.0,0.0343,0.947,0.0177,0.133,0.451,90.574,244520.0
91,All Is Well,700xxgbIpH0YNMideY7sWR,5tOffZXVBFTMS7mkKQ3tpX,0.316,0.413,11.0,-12.216,1.0,0.0334,0.856,0.00245,0.143,0.245,155.69,256680.0
92,House of Stone,1Cy1mZ5KVGh4lU5gyBEmpq,5tOffZXVBFTMS7mkKQ3tpX,0.413,0.171,2.0,-12.314,1.0,0.0293,0.929,0.00591,0.083,0.166,81.966,196813.0
93,Digging Shelters,6iy614h6jt3ckEDXbiR8vq,5tOffZXVBFTMS7mkKQ3tpX,0.513,0.274,4.0,-11.394,1.0,0.0286,0.835,0.0976,0.11,0.279,76.375,220867.0
94,Skinny Love,1NyFRrFiJAJIaR6icj1goI,5tOffZXVBFTMS7mkKQ3tpX,0.592,0.256,4.0,-14.031,0.0,0.0449,0.842,2.38e-06,0.088,0.103,76.361,238533.0
95,Holocene,4fbvXwMTXPWaFyaMWUm9CR,5tOffZXVBFTMS7mkKQ3tpX,0.374,0.304,1.0,-14.52,1.0,0.0302,0.943,0.298,0.126,0.147,147.969,336613.0
96,Chrysalis,6AKka4GmQYHOy624YSPCSh,5tOffZXVBFTMS7mkKQ3tpX,0.573,0.383,3.0,-18.81,1.0,0.0719,0.956,0.768,0.106,0.0814,170.969,224839.0
97,Big Black Car,3Kj2EWpIBnvETsYq4cq0IH,5tOffZXVBFTMS7mkKQ3tpX,0.6,0.186,3.0,-15.926,1.0,0.0317,0.909,0.00102,0.104,0.468,110.044,217467.0
98,Mango Tree,0VII3kl4B4IbJ5Hpk9KPwf,5tOffZXVBFTMS7mkKQ3tpX,0.619,0.454,7.0,-13.313,1.0,0.0285,0.842,0.152,0.0953,0.389,108.28,223467.0
99,Troubles Will Be Gone,7wH9OVoKhETiy1jFEzfFA8,5tOffZXVBFTMS7mkKQ3tpX,0.486,0.43,2.0,-8.308,1.0,0.0326,0.934,1.21e-05,0.126,0.623,120.45,181853.0
100,July,3vfG9ucWJPkQltYbkZVunx,5tOffZXVBFTMS7mkKQ3tpX,0.597,0.312,7.0,-11.451,1.0,0.0412,0.873,1.34e-06,0.129,0.266,105.85,194023.0
101,Jolene,2fSIF8CJhoc9CJhF9vJDXp,5tOffZXVBFTMS7mkKQ3tpX,0.588,0.142,7.0,-15.196,1.0,0.0329,0.863,0.000162,0.0953,0.288,119.656,250867.0
102,Dreamer,0PZLSFZUf910nZ9qFtQqAf,5tOffZXVBFTMS7mkKQ3tpX,0.629,0.383,8.0,-13.195,1.0,0.044,0.735,0.0259,0.0928,0.421,154.001,265013.0
103,Little River,5jDtpfcwpvaY8lU4ha7NKC,5tOffZXVBFTMS7mkKQ3tpX,0.477,0.284,10.0,-8.791,1.0,0.0431,0.934,1.68e-06,0.118,0.376,100.423,225920.0
104,The Guy That Says Goodbye To You Is Out Of His Mind,3KsWQeEN4RhdNyZidVYlck,5tOffZXVBFTMS7mkKQ3tpX,0.615,0.405,2.0,-13.242,1.0,0.0484,0.644,2.54e-06,0.145,0.525,93.498,196507.0
105,Quiet Town,5B6bSSnk7Wr4Fnb4ohNzry,5tOffZXVBFTMS7mkKQ3tpX,0.602,0.491,7.0,-11.92,1.0,0.0308,0.226,0.000398,0.118,0.871,113.981,151973.0
106,Dirty Old Town,567EmmCbOtpEuaVC2zznU6,5tOffZXVBFTMS7mkKQ3tpX,0.555,0.418,0.0,-12.7,1.0,0.0455,0.309,0.00119,0.237,0.328,159.764,246453.0
107,Forest Fires,6AQ3guMjWgetjRpQASwrE5,5tOffZXVBFTMS7mkKQ3tpX,0.623,0.292,7.0,-12.26,0.0,0.0313,0.698,9.86e-06,0.121,0.161,118.007,210925.0
108,In Your Arms,7fKF4HdftIEt3lLAy3rDG6,3FInOSJaKv5QzLQrd3lCgA,0.648,0.564,5.0,-10.269,1.0,0.0682,0.673,0.0,0.115,0.377,92.958,215238.0
109,Bones,2iddHfAqBKMJkXerLA9F9I,5tOffZXVBFTMS7mkKQ3tpX,0.56,0.653,2.0,-9.105,1.0,0.035,0.594,0.297,0.0977,0.179,77.017,265098.0
110,Gone Tomorrow,5CQHTuNbYlEA4fZdxQ4PMi,5tOffZXVBFTMS7mkKQ3tpX,0.585,0.239,9.0,-15.167,1.0,0.0309,0.697,0.00133,0.159,0.0933,101.182,207520.0
111,Orange Sky,6yeh88TFXEyLvSk3BlfAI5,5tOffZXVBFTMS7mkKQ3tpX,0.643,0.334,7.0,-11.893,1.0,0.0544,0.843,0.00369,0.0581,0.4,139.488,371147.0
112,All My Days,73nbCNfBkFxpzG7Rb4e02p,5tOffZXVBFTMS7mkKQ3tpX,0.438,0.319,2.0,-15.969,1.0,0.0305,0.788,0.758,0.106,0.529,88.446,297307.0
113,Helplessness Blues,1pbOvzdkL5iujppWgzBQdS,5tOffZXVBFTMS7mkKQ3tpX,0.324,0.463,8.0,-7.247,1.0,0.0336,0.0781,5.63e-06,0.103,0.2,125.295,303387.0
114,Let's Be Still,5IJnj6Um7jVuRPT4WGj1z6,5tOffZXVBFTMS7mkKQ3tpX,0.636,0.411,9.0,-10.723,1.0,0.0278,0.678,0.00425,0.106,0.564,130.679,268347.0
115,Only Love,7DSBxP0sGTuEb249LMJSLY,35oLMiAK4VM2T0ek3PTPIc,0.647,0.81,2.0,-5.804,1.0,0.0521,0.0658,0.00236,0.237,0.648,108.011,172222.0
116,Shape of Love,3eeIdvZqXaffY0yVRgbGfQ,5tOffZXVBFTMS7mkKQ3tpX,0.625,0.736,1.0,-8.658,0.0,0.0325,0.118,0.0,0.167,0.909,105.529,188453.0
117,Halogen Moon,15ceG2IWhnKsyLFEFlNabj,5tOffZXVBFTMS7mkKQ3tpX,0.427,0.103,1.0,-15.805,1.0,0.0637,0.915,0.000125,0.113,0.338,169.147,147467.0
118,Even the Darkness Has Arms,6W49z468BT75GsO2tCcBtq,5tOffZXVBFTMS7mkKQ3tpX,0.508,0.652,11.0,-13.102,1.0,0.0429,0.813,0.148,0.29,0.746,101.313,230518.0
119,Silver Moon,61X18xzfxAYZGouAXm4ISi,5tOffZXVBFTMS7mkKQ3tpX,0.397,0.269,2.0,-13.249,1.0,0.0366,0.89,0.34,0.111,0.0514,116.938,291360.0
120,"Under Mountain, Under Ground",5XvS3t5O7c9X8cSoIIp3At,5tOffZXVBFTMS7mkKQ3tpX,0.513,0.84,2.0,-6.07,1.0,0.0321,0.183,0.0546,0.106,0.269,95.048,260067.0
121,Every Night,3ADf6eSlkURLABzIELamUh,5tOffZXVBFTMS7mkKQ3tpX,0.574,0.551,4.0,-10.335,1.0,0.0287,0.765,0.0379,0.105,0.317,117.946,198400.0
122,Cucurucu,34a7VkqKRQ4pA2598XizKN,5tOffZXVBFTMS7mkKQ3tpX,0.339,0.616,6.0,-7.888,0.0,0.0761,0.177,4.49e-05,0.0825,0.445,97.021,267573.0
123,Blood Red Sentimental Blues,6m2OUSC736AxOVJ3W0FcEr,5tOffZXVBFTMS7mkKQ3tpX,0.566,0.716,10.0,-6.254,1.0,0.0253,0.218,3.3e-06,0.185,0.679,92.982,276333.0
124,New York,5Zlu3S2o9BD2HnM4qBvRad,5tOffZXVBFTMS7mkKQ3tpX,0.564,0.0705,0.0,-18.847,1.0,0.0342,0.959,0.0064,0.119,0.703,89.436,171494.0
125,Wolves,5IPIpXq8znsSOybCsbd88v,5tOffZXVBFTMS7mkKQ3tpX,0.331,0.288,1.0,-11.067,1.0,0.0311,0.943,0.00453,0.0756,0.097,130.752,374640.0
126,Sunsetz,69UqtTHfUKAJweQwEStRzC,5tOffZXVBFTMS7mkKQ3tpX,0.412,0.477,9.0,-9.381,0.0,0.029,0.0542,0.798,0.0975,0.141,75.302,214680.0
127,"10,000 Weight in Gold",62xoeztSUzgIBTQgbRBBRR,5tOffZXVBFTMS7mkKQ3tpX,0.485,0.491,1.0,-9.537,1.0,0.0229,0.451,0.588,0.141,0.254,82.842,252307.0
128,Open Road,1IycYHHYjKgxvB8AHCdu7O,5tOffZXVBFTMS7mkKQ3tpX,0.564,0.455,5.0,-8.282,1.0,0.0369,0.807,0.000184,0.0832,0.305,132.196,258731.0
129,Virginia May,435XaJ1Mqo5Pd7AwRE7nrF,5tOffZXVBFTMS7mkKQ3tpX,0.542,0.318,0.0,-12.797,1.0,0.0369,0.826,4.07e-05,0.106,0.489,88.881,178347.0
